Title,Link
2.4_Income Statement Part 2,"https://youtu.be/abULtOgv2lU ,https://www.youtube.com/watch?v=3BE2cbRl4rg ,"
2.5_Income Statement Part 3,"https://youtu.be/TTAjSetNd-w ,https://www.youtube.com/watch?v=tSr1P_vDiC8 ,"
2.6_Income Statement Part 4,"https://youtu.be/iDuUW_PO1hE ,https://www.youtube.com/watch?v=Hq-44PHgAiU ,"
2.7_Dividends and Earning Per Share,"https://youtu.be/spaURCEoOT8 ,https://www.youtube.com/watch?v=TXjkQy5KJog ,"
2.8_Income Statement as per Indian Companies Act 2013 Revised Schedule III,"https://youtu.be/qXeg7wRN2aQ ,https://www.youtube.com/watch?v=PIO8yHvF10w ,"
2.9_Balance Sheet Part 1,"https://youtu.be/lbsXek7Po0g ,https://www.youtube.com/watch?v=zM7ddO52JqM ,"
2.10_Balance Sheet Part 2,"https://youtu.be/re1whyaaNBA ,https://www.youtube.com/watch?v=pnqC8RQSJ1M ,"
2.11_Balance Sheet Part 3,"https://youtu.be/1FXsdUukfQU ,https://www.youtube.com/watch?v=ORsVXVTKnWQ ,"
2.12_Statement of change of equity,"https://youtu.be/IFse7l4cRm4 ,https://www.youtube.com/watch?v=x3bjr3JPedE ,"
2.13_Balance Sheet as per Indian Companies Act 2013 Revised Schedule III,"https://www.youtube.com/watch?v=JPBD7gUqPc4 ,https://www.youtube.com/watch?v=KNzGkC81t1Y ,"
2.14_Introduction to Depreciation,"https://youtu.be/eaTPkH1hBBE ,https://www.youtube.com/watch?v=XvuuiEij0mU ,"
2.15_Depreciation - Straight Line Method,"https://youtu.be/7cvOqUrMdpQ ,https://www.youtube.com/watch?v=MWL8QHwoI_0 ,"
2.16_Depreciation- Annuity and Units of Production Method,"https://youtu.be/kdcco-3KhRE ,https://www.youtube.com/watch?v=QJk6DgML0BQ ,"
2.17_Depreciation- Sinking Fund and Depletion Method,"https://youtu.be/3FGsZgNmHMA ,https://www.youtube.com/watch?v=M-VzJ51zZoM ,"
2.18_Depreciation - Change in Rate and Useful Life,"https://youtu.be/-Tb8v_Mxcbw ,https://www.youtube.com/watch?v=jv2XxyCPLVM ,"
3.1_Overview of Financial Statement Analysis,"https://youtu.be/o3zPJYEq8dw ,"
3.2_Trend Analysis,"https://youtu.be/R1gZbwjYx4c ,"
3.3_Comparative Balance Sheet—Horizontal Analysis,"https://youtu.be/WO2F2yM9CNk ,"
3.4_Comparative Income Statement—Horizontal Analysis,"https://youtu.be/mgvXXg1HKLU ,"
3.5_Comparative Balance Sheet—Vertical Analysis,"https://youtu.be/7biE8bwUO6w ,"
3.6_Comparative Income Statement—Vertical Analysis,"https://youtu.be/hDyE0ebF6fs ,"
3.7_Inter Firm Comparison,"https://youtu.be/QCZwd4vVUCY ,"
3.8_Ratio Analysis- Part 1 ( Profitability Ratios),"https://youtu.be/dMxcCIqNqOs ,"
3.9_Ratio Analysis- Part 2 ( Liquidity Ratios),"https://youtu.be/ffzGc4tEC6w ,"
3.10_Ratio Analysis- Part 3 (Solvency Ratio),"https://youtu.be/Oz-Gh6C9X_U ,"
3.11_Ratio Analysis- Part 4 (Turnover ratios),"https://youtu.be/0Kr0EICX3nQ ,"
3.12_Ratio Analysis- Part 5 (Earning ratios),"https://youtu.be/8a_tBoCalh0 ,"
3.13_DuPont decomposition analysis,"https://youtu.be/-bLB9BcMYl4 ,"
3.14_Ratio Analysis Computation,"https://youtu.be/mOzWWQaKZcw ,"
3.15_Cash flow Statement- Overview,"https://youtu.be/gtmkhUT1seg ,"
3.16_Cash Flow from Operations- (direct method),"https://youtu.be/KpvJ5juomyI ,"
3.17_Cash Flow from Operations- (Indirect method),"https://youtu.be/Q5VV7IOLTSA ,"
3.18_Cash Flow Statement-Numerical 1,"https://youtu.be/LhbFBj1Eauo ,"
3.19_Cash Flow Statement-Numerical 2,"https://youtu.be/5IMCXj-xvpg ,"
4.1_Introduction to Cost & Management Accounting,"https://youtu.be/bZrZV7elZ6Q ,https://www.youtube.com/watch?v=_z4-7xr6ur8 ,"
4.2_Cost Classification,"https://youtu.be/O-O_db__MY4 ,https://www.youtube.com/watch?v=AftMpBZrZPE ,"
4.3_Cost Sheet - Part 1 - Explaining the sheet,"https://youtu.be/ENvqbsvtfLo ,https://www.youtube.com/watch?v=WxGGtXkgOiA ,"
4.4_Cost Sheet - Part II - Showing a numerical example,"https://youtu.be/OYA9g4jBcdc ,https://www.youtube.com/watch?v=gf5AW_dZgSc ,"
4.5_Marginal Costing - Meaning and purpose,"https://youtu.be/GIHE7nhQUbg ,https://www.youtube.com/watch?v=zKsZmNuToAI ,"
"4.6_CVP Analysis - Contribution, P/V ratio, etc","https://youtu.be/jAhpPgbWFGo ,https://www.youtube.com/watch?v=CN7dJSmnWAM ,"
4.7_CVP Analysis -Break Even Analysis,"https://youtu.be/wOZ6rqEta3Q ,https://www.youtube.com/watch?v=mN8dGY57IBk ,"
4.8_CVP Analysis -Margin of Safety,"https://youtu.be/-ujXfhhbehc ,https://www.youtube.com/watch?v=QpVVN3VpOlU ,"
"4.9_CVP Analysis - Decision making, examples","https://youtu.be/o_N3NtOURUE ,https://www.youtube.com/watch?v=LSTqF7eASK4 ,"
"4.10_Inventory Valuation - Introduction, Periodic, Perpetual & FIFO","https://youtu.be/UEa4y4zowTU ,https://www.youtube.com/watch?v=tAJ8mRfffJ8 ,"
4.11_Inventory Valuation - LIFO & Average methods,"https://youtu.be/T9pmklUE9OE ,https://www.youtube.com/watch?v=Hvul1enbwjk ,"
4.12_Standard Costing & Variance Analysis - Introduction,"https://youtu.be/ATkGBcEiWFM ,https://www.youtube.com/watch?v=Yc0psqUKNOA ,"
4.13_Variance Analysis - Material,"https://youtu.be/tKja5Zh26ZI ,https://www.youtube.com/watch?v=SMTa1lZu7Qw ,"
4.14_Variance Analysis - Labour,"https://youtu.be/U-jx-CTi0dQ ,https://www.youtube.com/watch?v=zNriZz-zCec ,"
